Disp Cluster Num:1
No.8 ,353,57,439,6,811
No.9 ,353,57,439,6,811
No.10 ,353,57,439,6,811

Disp Cluster Num:9
Center Point ,448,68,62,82,627

No.1 ,448,68,62,82,627
No.2 ,448,68,62,82,627
No.3 ,448,68,62,86,627
No.4 ,448,68,62,82,627
No.5 ,448,68,62,82,627
No.6 ,448,68,62,82,627
No.7 ,448,68,62,82,627
No.8 ,448,68,62,82,627
No.9 ,448,68,62,82,627
No.10 ,448,68,62,82,627

Disp Cluster Num:10
Center Point ,184,92,26,50,742

No.1 ,184,92,26,50,742
No.2 ,128,45,23,55,925
No.3 ,184,92,26,50,742
No.4 ,128,45,23,55,925
No.5 ,184,92,26,50,742
No.6 ,128,45,23,55,925
No.7 ,184,92,26,50,742
No.8 ,128,45,23,55,925
No.9 ,184,92,26,50,742
No.10 ,128,45,23,55,925


Disp Cluster Num:1
Center Point ,213,91,232,82,745

No.1 ,213,91,232,82,745
No.2 ,205,11,250,56,657
No.3 ,213,91,232,82,745
No.4 ,205,11,250,56,657
No.5 ,213,91,232,82,745
No.6 ,205,11,250,56,657
No.7 ,213,91,232,82,745
No.8 ,205,11,250,56,657
No.9 ,213,91,232,82,747
No.10 ,205,11,250,56,657

Disp Cluster Num:2
Center Point ,353,57,439,6,815

No.1 ,353,57,439,6,815
No.2 ,353,57,439,6,815
No.3 ,353,57,439,6,815
No.4 ,353,57,439,6,815
No.5 ,353,57,439,6,815
No.6 ,353,57,439,6,815
No.7 ,353,57,439,6,815
No.8 ,353,57,439,6,815
No.9 ,353,57,439,6,815
No.10 ,321,57,439,6,811

Disp Cluster Num:3
Center Point ,166,82,5,66,502

No.1 ,166,82,5,66,502
No.2 ,166,90,5,66,438
No.3 ,166,82,5,66,502
No.4 ,166,82,5,66,438
No.5 ,166,82,5,66,502
No.6 ,166,82,5,66,438
No.7 ,166,82,5,66,502
No.8 ,166,82,5,66,438
No.9 ,166,82,5,66,502
No.10 ,166,82,5,66,438

Disp Cluster Num:4
Center Point ,130,45,23,55,925

No.1 ,130,45,23,55,925
No.2 ,128,45,23,55,925
No.3 ,128,45,23,55,925
No.4 ,128,45,23,55,925
No.5 ,128,45,23,55,925
No.6 ,128,45,23,55,925
No.7 ,128,45,23,55,925
No.8 ,128,45,23,55,925
No.9 ,128,45,87,55,925
No.10 ,128,45,23,55,925

Disp Cluster Num:5
Center Point ,289,72,279,58,530

No.1 ,289,72,279,58,530
No.2 ,407,102,344,63,538
No.3 ,289,72,279,58,530
No.4 ,407,102,344,63,538
No.5 ,289,72,279,58,530
No.6 ,407,102,344,63,539
No.7 ,289,72,279,58,530
No.8 ,407,102,344,63,538
No.9 ,289,72,279,58,530
No.10 ,407,102,344,63,538

Disp Cluster Num:6
Center Point ,68,62,368,7,659

No.1 ,68,62,368,7,659
No.2 ,84,62,368,7,659
No.3 ,68,62,368,7,659
No.4 ,68,62,368,7,659
No.5 ,68,62,368,7,659
No.6 ,68,62,368,7,659
No.7 ,68,62,368,7,659
No.8 ,68,62,368,7,659
No.9 ,68,62,368,7,667
No.10 ,68,62,368,7,659

Disp Cluster Num:7
Center Point ,128,45,23,55,925

No.1 ,128,45,23,55,925
No.2 ,128,45,23,55,925
No.3 ,128,45,23,55,925
No.4 ,128,45,23,55,925
No.5 ,128,45,23,55,925
No.6 ,128,45,23,55,925
No.7 ,128,45,23,55,925
No.8 ,128,45,23,55,925
No.9 ,128,45,23,55,925
No.10 ,128,45,23,55,925

Disp Cluster Num:8
Center Point ,353,57,439,6,811

No.1 ,353,57,439,6,811
No.2 ,321,57,439,6,811
No.3 ,353,57,439,6,811
No.4 ,321,57,439,6,811
No.5 ,353,57,439,6,811
No.6 ,321,57,439,6,811
No.7 ,353,57,439,6,811
No.8 ,321,57,439,6,811
No.9 ,321,57,439,6,811
No.10 ,321,57,439,6,811

Disp Cluster Num:9
Center Point ,448,68,62,82,627

No.1 ,448,68,62,82,627
No.2 ,448,68,62,82,627
No.3 ,448,68,62,82,627
No.4 ,448,68,62,82,627
No.5 ,448,68,62,82,627
No.6 ,448,68,62,82,611
No.7 ,448,68,62,82,627
No.8 ,448,68,62,82,627
No.9 ,448,68,62,82,627
No.10 ,448,68,62,82,627

Disp Cluster Num:10
Center Point ,128,45,23,55,925

No.1 ,128,45,23,55,925
No.2 ,128,45,87,55,925
No.3 ,130,45,23,55,925
No.4 ,128,45,23,55,925
No.5 ,128,45,23,55,925
No.6 ,128,45,23,55,925
No.7 ,128,45,23,55,925
No.8 ,128,45,23,55,925
No.9 ,128,45,23,55,925
No.10 ,128,45,23,55,925


Disp Cluster Num:1
Center Point ,205,11,250,24,657

No.1 ,205,11,250,24,657
No.2 ,213,91,232,82,745
No.3 ,205,11,250,56,657
No.4 ,213,91,232,82,745
No.5 ,205,11,250,56,657
No.6 ,213,91,232,82,745
No.7 ,205,11,250,56,657
No.8 ,213,91,232,82,745
No.9 ,205,11,250,56,657
No.10 ,213,91,232,82,745

Disp Cluster Num:2
Center Point ,353,57,439,6,815

No.1 ,353,57,439,6,815
No.2 ,353,57,503,6,815
No.3 ,353,57,439,6,815
No.4 ,353,57,439,6,815
No.5 ,353,57,435,6,815
No.6 ,353,57,439,6,815
No.7 ,353,57,439,6,815
No.8 ,353,57,439,6,815
No.9 ,353,57,439,6,815
No.10 ,321,57,439,6,811

Disp Cluster Num:3
Center Point ,166,82,5,66,438

No.1 ,166,82,5,66,438
No.2 ,166,82,5,66,438
No.3 ,166,82,5,66,438
No.4 ,166,82,5,66,438
No.5 ,166,82,5,66,438
